fighter_a,fighter_b,a_kd,b_kd,a_sig_str_landed,a_sig_str_att,b_sig_str_landed,b_sig_str_att,a_total_str_landed,a_total_str_att,b_total_str_landed,b_total_str_att,a_td_landed,a_td_att,b_td_landed,b_td_att,a_sub_att,b_sub_att,a_rev,b_rev,a_ctrl_sec,b_ctrl_sec,a_head_landed,a_head_att,b_head_landed,b_head_att,a_body_landed,a_body_att,b_body_landed,b_body_att,a_leg_landed,a_leg_att,b_leg_landed,b_leg_att,a_dist_landed,a_dist_att,b_dist_landed,b_dist_att,a_clinch_landed,a_clinch_att,b_clinch_landed,b_clinch_att,a_ground_landed,a_ground_att,b_ground_landed,b_ground_att,fight_url
Josh Emmett,Kevin Vallejos,0,2,3,12,36,55,3,12,43,68,0,1,0,0,0,0,0,0,0,38,2,11,30,49,1,1,4,4,0,0,2,2,3,12,12,21,0,0,10,14,0,0,14,20,http://www.ufcstats.com/fight-details/f594fc5c2bc6237e
Amanda Lemos,Gillian Robertson,0,0,25,37,5,15,27,39,9,20,0,0,1,2,0,0,1,1,100,98,18,29,2,7,6,6,1,2,1,2,2,6,12,23,5,15,1,1,0,0,12,13,0,0,http://www.ufcstats.com/fight-details/3b7b771b9578383d
Andre Fili,Jose Delgado,0,0,19,39,23,46,19,39,26,49,1,1,0,1,0,0,0,0,23,0,15,32,7,26,2,4,7,11,2,3,9,9,19,39,23,46,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/8bee5192baec71d8
Marwan Rahiki,Harry Hardwick,0,0,44,83,40,94,44,83,44,102,0,0,0,0,0,0,0,0,0,36,26,59,23,74,7,12,7,8,11,12,10,12,44,83,40,93,0,0,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/e0acd0cf4930671b
Ion Cutelaba,Oumar Sy,0,0,14,20,5,11,40,49,5,11,1,2,0,1,1,0,0,0,147,18,4,9,1,7,4,5,0,0,6,6,4,4,10,15,5,11,1,1,0,0,3,4,0,0,http://www.ufcstats.com/fight-details/db7694f4513120d5
Charles Johnson,Bruno Silva,0,0,18,34,12,19,18,36,15,22,0,2,0,2,0,0,0,0,0,53,7,18,6,11,7,10,2,4,4,6,4,4,11,26,12,19,7,8,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/fc9168fd102e2e66
Chris Curtis,Myktybek Orolbai,0,0,2,10,16,21,12,20,49,65,0,0,7,8,0,0,0,0,0,242,1,9,13,16,1,1,2,2,0,0,1,3,2,10,3,5,0,0,0,0,0,0,13,16,http://www.ufcstats.com/fight-details/f26c0bdf7689aea2
Vitor Petrino,Steven Asplund,0,1,19,37,20,45,19,38,32,59,0,3,0,0,0,0,0,0,23,12,14,32,14,39,2,2,3,3,3,3,3,3,19,36,17,41,0,1,1,2,0,0,2,2,http://www.ufcstats.com/fight-details/2c330a6f7f1e55f0
Elijah Smith,SuYoung You,0,0,3,6,1,1,5,8,18,24,0,0,4,7,0,0,1,0,79,162,1,4,1,1,1,1,0,0,1,1,0,0,2,5,1,1,1,1,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/f44b4e998b6829f6
Bolaji Oki,Manoel Sousa,0,1,20,26,10,21,42,50,23,35,1,1,0,0,0,1,0,0,171,59,8,14,8,18,9,9,2,2,3,3,0,1,3,7,4,12,12,12,5,5,5,7,1,4,http://www.ufcstats.com/fight-details/c769dd861357af9f
Brad Tavares,Eryk Anders,0,0,18,35,20,41,18,35,33,56,0,0,0,4,0,0,0,0,0,190,7,23,17,34,10,11,3,7,1,1,0,0,6,18,4,14,12,17,16,27,0,0,0,0,http://www.ufcstats.com/fight-details/cff81d681a01ae18
Bia Mesquita,Montse Rendon,0,0,18,27,0,8,31,40,0,8,1,1,0,0,1,0,0,0,106,0,16,25,0,6,1,1,0,1,1,1,0,1,6,6,0,8,0,1,0,0,12,20,0,0,http://www.ufcstats.com/fight-details/8cab057e6549afd0
Luan Lacerda,Hecher Sosa,0,0,19,43,22,50,22,47,33,64,2,3,0,0,0,0,0,0,104,6,9,24,15,37,7,15,2,8,3,4,5,5,13,36,20,44,6,7,2,6,0,0,0,0,http://www.ufcstats.com/fight-details/32d371462c539bee
Piera Rodriguez,Sam Hughes,0,0,40,85,33,43,41,87,37,47,0,3,0,4,0,0,0,0,64,22,18,59,13,23,16,19,9,9,6,7,11,11,29,70,30,40,11,15,3,3,0,0,0,0,http://www.ufcstats.com/fight-details/244285b7fd0ddece
Max Holloway,Charles Oliveira,0,0,8,13,10,14,11,16,19,25,0,0,1,1,0,2,0,0,0,270,5,10,7,11,2,2,0,0,1,1,3,3,8,13,6,8,0,0,1,1,0,0,3,5,http://www.ufcstats.com/fight-details/f030febede41c661
Caio Borralho,Reinier de Ridder,0,0,24,42,19,51,24,42,30,62,0,0,2,5,0,0,0,0,0,86,14,26,9,37,3,8,3,6,7,8,7,8,23,41,19,51,0,0,0,0,1,1,0,0,http://www.ufcstats.com/fight-details/d564db29997e1371
Rob Font,Raul Rosas Jr.,0,0,7,20,5,22,8,21,12,29,0,1,5,6,0,0,0,0,0,131,4,15,2,18,1,3,0,0,2,2,3,4,7,20,5,22,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/bed89a91da9d04c1
Drew Dober,Michael Johnson,0,0,11,29,18,51,11,29,18,51,0,0,0,0,0,0,0,0,0,0,2,14,9,31,5,9,0,11,4,6,9,9,11,29,18,51,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/f02c0adc4ae629c6
Gregory Rodrigues,Brunno Ferreira,1,0,2,6,2,5,2,6,2,5,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,2,0,1,0,0,1,2,2,6,2,5,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/6a4738656c493ee9
Cody Garbrandt,Xiao Long,0,0,10,20,20,31,10,20,20,31,0,2,0,0,0,0,0,0,27,0,6,16,3,10,2,2,2,4,2,2,15,17,7,16,20,31,3,4,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/ecd16d14a138d7fb
Donte Johnson,Cody Brundage,0,0,10,25,5,20,29,44,6,23,0,0,1,2,0,0,0,0,0,201,8,23,4,19,1,1,0,0,1,1,1,1,10,25,5,19,0,0,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/9c8d5dbd8905a715
Ricky Turcios,Alberto Montes,0,0,19,53,26,47,33,67,33,54,0,2,0,0,0,0,0,0,114,9,13,46,16,35,2,3,8,10,4,4,2,2,17,51,20,41,2,2,6,6,0,0,0,0,http://www.ufcstats.com/fight-details/6feb49a6b7e8433c
Cody Durden,Nyamjargal Tumendemberel,0,0,4,8,9,13,21,25,15,19,3,6,1,1,0,1,0,0,111,97,1,5,5,8,0,0,1,1,3,3,3,4,3,6,3,7,1,1,1,1,0,1,5,5,http://www.ufcstats.com/fight-details/f661ef429055f8c1
Sumudaerji,Jesus Aguilar,0,0,16,44,13,35,19,47,16,38,1,1,0,1,0,0,0,0,13,59,10,34,4,19,1,3,4,6,5,7,5,10,16,44,12,34,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/a22fd3735819d858
Rafael Tobias,Diyar Nurgozhay,0,0,10,38,36,57,10,38,36,58,0,0,0,0,0,0,0,0,0,18,5,29,13,30,3,5,14,18,2,4,9,9,9,37,31,51,1,1,4,4,0,0,1,2,http://www.ufcstats.com/fight-details/cc03e698c4b7da52
Luke Fernandez,Rodolfo Bellato,0,1,16,33,30,46,26,43,32,48,0,0,0,0,0,0,0,0,22,11,12,28,24,39,3,4,4,5,1,1,2,2,9,26,9,18,7,7,1,1,0,0,20,27,http://www.ufcstats.com/fight-details/a5abdc461cb1538e
Marlon Vera,David Martinez,0,0,5,39,19,41,13,48,26,51,0,0,1,1,0,0,0,0,0,45,0,30,10,28,2,4,5,7,3,5,4,6,5,39,16,36,0,0,0,0,0,0,3,5,http://www.ufcstats.com/fight-details/36d12b31957e94db
Daniel Zellhuber,King Green,0,0,11,46,41,64,11,46,41,64,0,0,2,2,0,0,0,0,0,4,3,32,10,23,3,7,15,19,5,7,16,22,11,45,36,59,0,1,5,5,0,0,0,0,http://www.ufcstats.com/fight-details/81f3d28d30d17378
Edgar Chairez,Felipe Bunes,0,0,4,9,5,13,6,11,64,81,0,0,0,1,0,0,0,0,0,206,1,6,3,11,1,1,1,1,2,2,1,1,3,8,3,10,0,0,2,3,1,1,0,0,http://www.ufcstats.com/fight-details/7df505d8260ba680
Imanol Rodriguez,Kevin Borjas,0,2,12,22,12,23,21,31,14,25,1,1,0,0,0,0,0,0,208,0,9,17,10,20,1,1,2,3,2,4,0,0,6,14,10,20,0,0,2,3,6,8,0,0,http://www.ufcstats.com/fight-details/15068d7b095ca9bd
Santiago Luna,Angel Pacheco,0,0,26,56,25,74,31,61,26,75,2,2,0,0,0,0,0,0,50,0,15,34,20,68,9,20,3,4,2,2,2,2,16,42,24,72,9,13,1,2,1,1,0,0,http://www.ufcstats.com/fight-details/3b76a00f5d0400eb
Ryan Gandra,Jose Daniel Medina,1,0,14,29,0,3,14,29,0,3,0,0,0,0,0,0,0,0,0,0,14,27,0,2,0,2,0,1,0,0,0,0,13,28,0,3,0,0,0,0,1,1,0,0,http://www.ufcstats.com/fight-details/45ec0c5f19c9adbe
Ailin Perez,Macy Chiasson,0,0,6,7,4,5,10,11,24,41,2,2,0,0,0,0,0,2,79,168,4,5,4,5,0,0,0,0,2,2,0,0,1,1,0,1,1,1,0,0,4,5,4,4,http://www.ufcstats.com/fight-details/c40b934d2666e351
Cristian Quinonez,Kris Moutinho,0,0,23,37,16,39,24,40,16,39,2,3,0,0,0,0,0,0,61,0,20,30,6,27,3,7,3,4,0,0,7,8,23,37,16,39,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/25ab195cefbce1d0
Douglas Silva de Andrade,Javier Reyes,0,1,17,27,46,75,19,29,87,125,0,0,1,2,0,0,0,0,4,117,8,15,42,69,2,4,4,5,7,8,0,1,17,26,9,32,0,1,0,0,0,0,37,43,http://www.ufcstats.com/fight-details/6154ee95d3f4fc32
Regina Tarin,Ernesta Kareckaite,0,0,37,79,33,82,39,81,39,90,0,0,0,0,0,0,0,0,0,21,26,63,26,70,9,12,5,9,2,4,2,3,35,75,29,78,2,4,4,4,0,0,0,0,http://www.ufcstats.com/fight-details/44d58943ac8e47e1
Erik Silva,Francis Marshall,0,0,5,9,3,5,5,9,10,13,0,0,1,2,0,1,0,0,0,102,2,6,0,2,1,1,0,0,2,2,3,3,5,9,3,5,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/581292ffe5b09344
Damian Pinas,Wes Schultz,2,0,15,23,3,13,22,30,5,16,0,0,0,6,0,0,0,0,49,28,9,16,0,6,2,3,2,5,4,4,1,2,8,13,3,12,1,1,0,1,6,9,0,0,http://www.ufcstats.com/fight-details/c6a85b67fdd2ef3d
Sean Strickland,Anthony Hernandez,0,0,32,90,23,48,33,91,23,48,0,0,0,1,0,0,0,0,0,20,24,80,12,37,3,5,5,5,5,5,6,6,32,90,23,48,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/8d740c844353ae0e
Geoff Neal,Uros Medic,0,1,3,10,10,19,3,10,10,19,0,0,0,0,0,0,0,0,0,0,1,6,4,10,1,3,6,9,1,1,0,0,3,10,10,19,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/dd12bf51c5ed7f1e
Dan Ige,Melquizael Costa,0,1,7,11,19,40,12,16,26,48,1,3,1,1,0,0,0,0,91,32,2,5,9,26,2,3,7,9,3,3,3,5,7,11,13,29,0,0,4,5,0,0,2,6,http://www.ufcstats.com/fight-details/dc6f6c8228390ebb
Serghei Spivac,Ante Delija,0,0,20,46,19,58,20,46,19,58,0,0,0,0,0,0,0,0,0,0,20,46,17,55,0,0,2,3,0,0,0,0,20,46,19,58,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/04b7bcc0e8488604
Jacobe Smith,Josiah Harrell,0,0,33,47,7,14,37,51,7,14,2,2,0,2,0,0,0,0,21,1,18,29,1,6,9,10,3,5,6,8,3,3,23,37,7,14,0,0,0,0,10,10,0,0,http://www.ufcstats.com/fight-details/54437b8dba3a6110
Zach Reese,Michel Pereira,0,0,23,51,18,40,26,56,25,47,0,0,1,1,0,0,0,0,0,42,4,29,8,21,8,11,10,19,11,11,0,0,23,50,15,35,0,1,2,4,0,0,1,1,http://www.ufcstats.com/fight-details/372d1dee0db8dbee
Chidi Njokuani,Carlos Leal,0,0,46,70,60,131,46,70,60,131,0,0,0,0,0,0,0,0,0,0,8,23,28,95,19,27,21,25,19,20,11,11,39,62,58,128,7,8,2,3,0,0,0,0,http://www.ufcstats.com/fight-details/202d3277e569ad03
Ode Osbourne,Alibi Idiris,0,0,8,26,12,30,8,27,19,37,0,0,1,6,0,0,0,0,0,120,6,23,8,23,2,3,0,0,0,0,4,7,8,26,12,29,0,0,0,0,0,0,0,1,http://www.ufcstats.com/fight-details/7ffdaa44fc8d111b
Alden Coria,Luis Gurule,0,0,24,51,11,33,26,53,15,37,0,1,0,0,0,0,0,0,9,26,15,35,5,24,3,10,3,5,6,6,3,4,22,49,10,32,2,2,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/ac39c1f00ae31e58
Nora Cornolle,Joselyne Edwards,0,0,16,29,5,13,28,46,26,39,0,0,0,2,0,0,0,0,23,155,9,20,4,10,6,7,1,3,1,2,0,0,4,13,4,10,12,16,1,3,0,0,0,0,http://www.ufcstats.com/fight-details/fd56a469e4589ebc
Ramiz Brahimaj,Punahele Soriano,0,0,31,56,17,52,31,56,21,59,0,1,0,0,0,0,0,0,2,20,13,37,14,47,17,18,3,5,1,1,0,0,30,54,16,50,1,2,1,1,0,0,0,1,http://www.ufcstats.com/fight-details/8f9896e60047007f
Phil Rowe,Jean-Paul Lebosnoyani,0,0,14,26,32,38,15,27,43,53,0,0,1,4,0,0,0,0,7,106,10,21,22,27,0,0,4,5,4,5,6,6,13,25,18,23,1,1,2,3,0,0,12,12,http://www.ufcstats.com/fight-details/508e622130b0a84d
Jordan Leavitt,Yadier del Valle,0,0,7,14,3,7,20,33,32,38,3,4,0,0,0,0,0,0,244,0,4,8,0,4,2,5,2,2,1,1,1,1,4,7,2,6,0,0,1,1,3,7,0,0,http://www.ufcstats.com/fight-details/5b97f47cdd355cbe
Juliana Miller,Carli Judice,0,0,10,25,18,40,15,32,37,61,1,4,0,0,0,0,0,0,118,52,6,19,11,29,4,6,5,9,0,0,2,2,6,19,14,36,4,6,3,3,0,0,1,1,http://www.ufcstats.com/fight-details/6e78d874097a3d22
Mario Bautista,Vinicius Oliveira,0,0,3,9,6,8,22,29,8,10,1,2,0,0,0,0,0,0,138,99,1,7,0,1,2,2,3,4,0,0,3,3,1,4,4,6,0,0,2,2,2,5,0,0,http://www.ufcstats.com/fight-details/fb4b1754d510b0d0
Amir Albazi,Kyoji Horiguchi,0,0,3,17,14,26,4,19,26,38,0,2,0,1,0,0,0,0,27,48,2,15,10,20,1,2,1,2,0,0,3,4,1,15,14,25,2,2,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/dbbf8334a2600895
Jailton Almeida,Rizvan Kuniev,0,0,5,12,12,24,14,22,33,45,0,3,0,0,0,0,0,0,71,131,1,8,5,15,2,2,6,8,2,2,1,1,3,9,4,12,2,3,8,12,0,0,0,0,http://www.ufcstats.com/fight-details/a5c5f76cf0a7c784
Michal Oleksiejczuk,Marc-Andre Barriault,0,0,47,73,19,54,47,73,19,54,1,1,0,0,0,0,0,0,8,0,32,56,9,44,8,9,6,6,7,8,4,4,46,71,19,54,0,0,0,0,1,2,0,0,http://www.ufcstats.com/fight-details/8fea32ab0445859c
Jean Matsumoto,Farid Basharat,0,0,19,52,20,36,29,68,24,41,1,2,0,3,0,0,0,0,79,70,11,40,13,28,0,1,5,5,8,11,2,3,16,48,15,31,3,4,5,5,0,0,0,0,http://www.ufcstats.com/fight-details/2a26c0cfa06265b7
Dustin Jacoby,Julius Walker,0,0,13,20,5,15,16,26,10,20,0,0,3,6,0,0,0,0,27,149,7,14,3,13,3,3,1,1,3,3,1,1,13,20,2,6,0,0,2,7,0,0,1,2,http://www.ufcstats.com/fight-details/6cca11f353a2b42d
Alex Morono,Daniil Donchenko,0,1,16,38,39,59,22,44,70,108,0,0,0,0,0,0,0,0,0,104,13,33,23,42,2,4,8,9,1,1,8,8,14,35,25,37,2,3,3,5,0,0,11,17,http://www.ufcstats.com/fight-details/f964d2dda87f25f0
Nikolay Veretennikov,Niko Price,0,0,19,30,9,23,20,31,12,27,0,0,0,0,0,0,0,0,17,0,12,22,7,19,6,7,1,1,1,1,1,3,10,21,9,22,9,9,0,1,0,0,0,0,http://www.ufcstats.com/fight-details/abefaf1807941ee4
Bruna Brasil,Ketlen Souza,0,0,12,19,5,13,32,41,19,30,1,1,0,3,0,0,0,0,10,206,2,9,4,10,9,9,1,3,1,1,0,0,9,16,3,11,3,3,2,2,0,0,0,0,http://www.ufcstats.com/fight-details/cc5c5a8cff4c1ae9
Javid Basharat,Gianni Vazquez,1,0,31,50,7,32,35,54,8,33,0,1,0,0,0,0,0,0,58,0,13,27,4,25,9,12,0,0,9,11,3,7,19,35,7,32,1,2,0,0,11,13,0,0,http://www.ufcstats.com/fight-details/86df0e75f41784d8
Wang Cong,Eduarda Moura,1,0,26,46,8,24,48,74,15,33,0,0,2,4,0,0,0,0,57,117,10,25,8,23,11,14,0,1,5,7,0,0,17,33,7,21,4,7,1,3,5,6,0,0,http://www.ufcstats.com/fight-details/84e8ccc3c97c2b4c
Muin Gafurov,Jakub Wiklacz,0,0,27,61,27,67,27,61,30,71,0,2,0,0,0,0,0,0,38,0,17,47,9,41,9,11,17,24,1,3,1,2,21,53,24,63,6,8,3,4,0,0,0,0,http://www.ufcstats.com/fight-details/9d30c887e8bd8824
Klaudia Sygula,Priscila Cachoeira,0,0,61,136,34,71,62,137,34,71,0,1,0,1,0,0,0,0,0,0,48,123,21,57,11,11,4,4,2,2,9,10,60,134,34,71,1,2,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/2bbfbb234c255249
Alexander Volkanovski,Diego Lopes,0,0,12,27,12,28,17,32,12,28,0,2,0,0,0,0,0,0,27,0,5,12,3,15,0,1,2,5,7,14,7,8,12,26,12,28,0,1,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/b06b43670238c2d8
Dan Hooker,Benoit Saint Denis,0,0,26,41,35,46,34,49,62,73,0,0,2,6,1,0,0,0,22,115,16,27,24,35,8,12,11,11,2,2,0,0,24,38,16,27,2,3,8,8,0,0,11,11,http://www.ufcstats.com/fight-details/a7ae8f6eb5fc3a79
Rafael Fiziev,Mauricio Ruffy,0,0,16,33,18,28,17,34,21,31,0,0,0,0,0,0,0,0,0,25,2,12,13,22,7,11,2,2,7,10,3,4,14,31,18,28,2,2,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/57d7a683b85bb87b
Tai Tuivasa,Tallison Teixeira,0,0,2,4,19,23,3,5,51,58,0,0,2,4,0,0,0,0,42,237,1,3,16,20,1,1,2,2,0,0,1,1,1,2,3,6,1,2,2,2,0,0,14,15,http://www.ufcstats.com/fight-details/67765535bd0b6bdf
Quillan Salkilld,Jamie Mullarkey,0,0,5,8,1,4,18,21,6,9,2,3,1,1,1,0,0,0,39,74,1,2,1,4,1,2,0,0,3,4,0,0,3,5,0,3,2,3,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/32e9bc4d0a19a923
Junior Tafa,Billy Elekana,1,0,26,46,9,24,26,46,10,25,0,0,0,3,0,0,0,0,7,37,13,32,6,20,10,11,2,3,3,3,1,1,25,42,8,23,0,3,1,1,1,1,0,0,http://www.ufcstats.com/fight-details/d94f1b32a81e3fa1
Cam Rowston,Cody Brundage,0,0,23,54,20,43,23,54,21,44,0,0,0,0,0,0,0,0,11,19,15,41,14,37,1,5,1,1,7,8,5,5,20,50,20,43,3,4,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/47362cae6ba0e077
Jacob Malkoun,Torrez Finney,0,0,61,98,7,26,72,111,12,33,0,2,0,1,1,0,0,0,20,20,59,96,6,24,2,2,1,2,0,0,0,0,55,88,7,25,1,1,0,1,5,9,0,0,http://www.ufcstats.com/fight-details/0047f8aadca1936f
Jonathan Micallef,Oban Elliott,0,0,11,36,21,49,20,45,27,55,0,0,0,2,0,0,0,0,35,65,8,31,16,43,3,5,1,2,0,0,4,4,9,31,16,43,2,5,5,5,0,0,0,1,http://www.ufcstats.com/fight-details/78912b78aa946375
Kaan Ofli,Yizha,0,0,23,38,19,34,28,44,22,38,0,2,0,0,0,0,1,0,140,6,10,24,14,26,12,13,1,4,1,1,4,4,15,26,18,33,5,7,0,0,3,5,1,1,http://www.ufcstats.com/fight-details/4c1e7e1765a5438a
Sangwook Kim,Dom Mar Fan,0,0,10,12,16,19,18,21,31,35,1,5,0,1,0,0,0,1,194,85,2,4,10,11,8,8,5,7,0,0,1,1,0,1,1,1,10,11,15,18,0,0,0,0,http://www.ufcstats.com/fight-details/ad14c502c9c5a7e9
Keiichiro Nakamura,Sebastian Szalay,0,0,13,33,23,63,13,33,23,63,0,0,0,0,0,0,0,0,0,0,2,18,13,44,3,7,7,16,8,8,3,3,13,33,22,62,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/780bae82bdfc7112
Sulangrangbo,Lawrence Lui,0,0,25,44,12,40,27,46,20,48,0,0,4,8,0,0,0,0,9,101,24,41,8,31,1,2,1,6,0,1,3,3,22,41,8,33,3,3,0,3,0,0,4,4,http://www.ufcstats.com/fight-details/5c73e0013b859664
Justin Gaethje,Paddy Pimblett,1,0,27,45,37,65,40,58,38,66,0,0,0,1,0,0,0,0,61,0,23,40,17,43,3,3,12,14,1,2,8,8,22,37,30,58,1,1,7,7,4,7,0,0,http://www.ufcstats.com/fight-details/fa4b3f5ce8055921
Sean O'Malley,Song Yadong,0,0,16,26,10,23,22,32,23,37,0,0,1,1,0,0,0,0,0,38,6,13,0,7,6,8,0,1,4,5,10,15,16,26,10,23,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/007e8e0d4a39d82c
Waldo Cortes Acosta,Derrick Lewis,0,0,12,16,4,22,14,18,4,22,1,1,0,0,0,0,0,0,16,0,7,11,3,17,3,3,1,4,2,2,0,1,11,15,4,22,0,0,0,0,1,1,0,0,http://www.ufcstats.com/fight-details/d93ee3860196c4ae
Natalia Silva,Rose Namajunas,0,0,15,44,13,39,15,44,13,39,0,0,0,1,0,0,0,0,0,0,10,32,4,22,1,3,1,6,4,9,8,11,15,44,13,39,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/d63c9aa4f4873001
Arnold Allen,Jean Silva,0,0,22,45,16,31,22,45,16,31,0,0,0,0,0,0,0,0,0,0,12,33,9,23,4,6,7,8,6,6,0,0,22,45,16,31,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/836a188a90e479a5
Umar Nurmagomedov,Deiveson Figueiredo,0,0,9,19,0,6,28,46,1,10,1,2,0,0,0,0,0,0,94,0,3,11,0,3,4,6,0,2,2,2,0,1,7,12,0,6,1,1,0,0,1,6,0,0,http://www.ufcstats.com/fight-details/6c9f4799990c3c33
Ateba Gautier,Andrey Pulyaev,1,0,8,42,19,37,8,42,19,37,0,0,0,0,0,0,0,0,0,0,8,39,12,26,0,3,7,10,0,0,0,1,7,40,19,37,1,2,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/33be2456161c14c3
Nikita Krylov,Modestas Bukauskas,0,0,10,28,11,21,25,48,13,23,1,4,0,0,0,0,0,0,118,0,3,17,11,21,1,5,0,0,6,6,0,0,10,27,11,21,0,1,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/780cab0cd07589e4
Alex Perez,Charles Johnson,2,0,39,75,8,25,55,94,8,25,0,0,0,1,0,0,0,0,14,0,27,60,4,14,9,10,3,9,3,5,1,2,33,67,8,25,4,6,0,0,2,2,0,0,http://www.ufcstats.com/fight-details/b5aafe149bec4306
Josh Hokit,Denzel Freeman,0,0,37,57,0,7,71,97,0,8,1,2,0,1,0,0,0,0,227,0,31,48,0,7,6,9,0,0,0,0,0,0,17,31,0,7,9,11,0,0,11,15,0,0,http://www.ufcstats.com/fight-details/abfb3ed6dcb0e1f0
Adam Fugitt,Ty Miller,0,1,36,73,59,121,39,76,65,129,0,2,0,0,0,0,0,0,0,3,10,42,55,115,21,26,4,6,5,5,0,0,30,67,55,115,6,6,3,4,0,0,1,2,http://www.ufcstats.com/fight-details/210fc45074fba464
Brandon Royval,Manel Kape,0,1,17,26,17,23,17,26,18,24,0,0,0,0,0,0,0,0,0,4,5,10,6,10,6,8,5,6,6,8,6,7,17,26,15,21,0,0,0,0,0,0,2,2,http://www.ufcstats.com/fight-details/a5a81a39ccf9b680
Giga Chikadze,Kevin Vallejos,0,0,9,17,9,18,16,24,12,21,0,0,0,1,0,0,0,0,0,87,1,8,6,13,8,8,1,2,0,1,2,3,9,17,8,16,0,0,1,2,0,0,0,0,http://www.ufcstats.com/fight-details/24bb03f0a3415fbe
Cesar Almeida,Cezary Oleksiejczuk,0,0,4,5,5,6,6,9,33,35,0,0,1,1,0,0,0,0,0,219,0,1,3,3,2,2,2,3,2,2,0,0,4,5,3,4,0,0,1,1,0,0,1,1,http://www.ufcstats.com/fight-details/d000cb692343cdcd
Melquizael Costa,Morgan Charriere,1,0,4,9,2,4,4,9,2,4,0,0,0,0,0,0,0,0,2,0,1,3,0,2,1,1,0,0,2,5,2,2,4,9,2,4,0,0,0,0,0,0,0,0,http://www.ufcstats.com/fight-details/93ca562453f65b8d
Kennedy Nzechukwu,Marcus Buchecha,0,0,9,18,2,9,23,32,3,10,0,0,2,9,0,0,0,0,38,142,7,16,0,5,2,2,2,4,0,0,0,0,8,16,1,8,1,1,1,1,0,1,0,0,http://www.ufcstats.com/fight-details/47149f3187661509
King Green,Lance Gibson Jr.,0,0,22,51,12,35,22,51,12,35,0,1,0,0,0,0,0,0,0,0,8,26,4,22,5,14,2,4,9,11,6,9,21,50,11,32,1,1,1,3,0,0,0,0,http://www.ufcstats.com/fight-details/fc4ab243d21b795d
Neil Magny,Yaroslav Amosov,0,0,5,11,9,19,15,24,13,27,0,0,1,2,0,1,0,0,0,116,2,8,3,12,2,2,0,0,1,1,6,7,5,11,8,17,0,0,0,0,0,0,1,2,http://www.ufcstats.com/fight-details/0fca825e14429c1f
Joanderson Brito,Isaac Thomson,0,0,4,7,6,10,16,19,26,34,3,3,2,2,0,0,0,1,89,143,1,4,6,7,2,2,0,2,1,1,0,1,1,1,0,3,1,2,5,5,2,4,1,2,http://www.ufcstats.com/fight-details/225e93ebed9b71b8
Sean Sharaf,Steven Asplund,0,0,43,89,71,137,43,90,72,138,0,0,0,0,0,0,0,0,0,3,32,76,61,127,10,12,3,3,1,1,7,7,43,89,70,136,0,0,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/a2523a8565fe4361
Melissa Croden,Luana Santos,0,0,7,27,10,13,21,41,33,37,0,1,1,3,0,0,1,0,44,111,1,17,5,7,4,5,3,4,2,5,2,2,4,23,8,10,3,4,2,3,0,0,0,0,http://www.ufcstats.com/fight-details/ceb5b0f1f6daddf6
Allen Frye Jr.,Guilherme Pat,0,0,19,49,24,35,32,63,25,37,0,0,0,0,0,0,0,0,138,3,10,37,19,29,7,7,3,4,2,5,2,2,12,40,23,34,7,9,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/ac56a1052c4c8f63
Jamey-Lyn Horth,Tereza Bleda,0,0,16,22,2,12,18,24,2,12,0,0,0,4,0,0,0,0,3,80,12,17,0,8,3,4,2,2,1,1,0,2,9,15,1,11,7,7,1,1,0,0,0,0,http://www.ufcstats.com/fight-details/71170fb7ade3e1f4
